epoch,learning_rate
1,0.005
2,0.005
3,0.005
4,0.005
5,0.005
6,0.005
7,0.005
8,0.005
9,0.005
10,0.005
11,0.005
12,0.005
13,0.005
14,0.005
15,0.005
16,0.005
17,0.005
18,0.005
19,0.005
20,0.005
21,0.005
22,0.005
23,0.002
24,0.002
25,0.002
26,0.002
27,0.002
28,0.002
29,0.002
30,0.002
31,0.0008
32,0.0008
33,0.0008
34,0.0008
35,0.0008
36,0.0008
37,0.0008
38,0.00032
39,0.00032
40,0.00032
41,0.00032
42,0.00032
43,0.00032
44,0.00032
45,0.00012800000000000002
46,0.00012800000000000002
47,0.00012800000000000002
48,0.00012800000000000002
49,0.00012800000000000002
50,0.00012800000000000002
51,0.00012800000000000002
52,5.120000000000001e-05
53,5.120000000000001e-05
54,5.120000000000001e-05
55,5.120000000000001e-05
56,5.120000000000001e-05
57,5.120000000000001e-05
58,5.120000000000001e-05
59,2.0480000000000007e-05
60,2.0480000000000007e-05
61,2.0480000000000007e-05
62,2.0480000000000007e-05
63,2.0480000000000007e-05
64,2.0480000000000007e-05
65,2.0480000000000007e-05
66,8.192000000000004e-06
67,8.192000000000004e-06
68,8.192000000000004e-06
69,8.192000000000004e-06
70,8.192000000000004e-06
71,8.192000000000004e-06
72,8.192000000000004e-06
73,3.276800000000002e-06
74,3.276800000000002e-06
75,3.276800000000002e-06
76,3.276800000000002e-06
77,3.276800000000002e-06
78,3.276800000000002e-06
79,3.276800000000002e-06
80,1.3107200000000008e-06
81,1.3107200000000008e-06
82,1.3107200000000008e-06
83,1.3107200000000008e-06
84,1.3107200000000008e-06
85,1.3107200000000008e-06
86,1.3107200000000008e-06
87,5.242880000000003e-07
88,5.242880000000003e-07
89,5.242880000000003e-07
90,5.242880000000003e-07
91,5.242880000000003e-07
92,5.242880000000003e-07
93,5.242880000000003e-07
94,2.0971520000000014e-07
95,2.0971520000000014e-07
96,2.0971520000000014e-07
97,2.0971520000000014e-07
98,2.0971520000000014e-07
99,2.0971520000000014e-07
100,2.0971520000000014e-07
