Run directory: logs/DL\run_25-05-19_12-52-49
Epoch 060/100 | Train L 0.1249 A 0.9386 | Val   L 0.2237 A 0.9026 | LR 0.000020
Epoch 061/100 | Train L 0.1254 A 0.9393 | Val   L 0.2174 A 0.9053 | LR 0.000020
Epoch 062/100 | Train L 0.1257 A 0.9404 | Val   L 0.2242 A 0.9026 | LR 0.000020
Epoch 063/100 | Train L 0.1285 A 0.9366 | Val   L 0.2223 A 0.9033 | LR 0.000020
Epoch 064/100 | Train L 0.1276 A 0.9387 | Val   L 0.2203 A 0.9048 | LR 0.000020
Epoch 065/100 | Train L 0.1261 A 0.9395 | Val   L 0.2205 A 0.9023 | LR 0.000020
Epoch 066/100 | Train L 0.1260 A 0.9373 | Val   L 0.2222 A 0.9023 | LR 0.000008
Epoch 067/100 | Train L 0.1270 A 0.9378 | Val   L 0.2242 A 0.9026 | LR 0.000008
Epoch 068/100 | Train L 0.1246 A 0.9393 | Val   L 0.2169 A 0.9023 | LR 0.000008
Epoch 069/100 | Train L 0.1248 A 0.9391 | Val   L 0.2226 A 0.9026 | LR 0.000008
Epoch 070/100 | Train L 0.1276 A 0.9371 | Val   L 0.2207 A 0.9035 | LR 0.000008
Epoch 071/100 | Train L 0.1279 A 0.9369 | Val   L 0.2283 A 0.9023 | LR 0.000008
Epoch 072/100 | Train L 0.1237 A 0.9403 | Val   L 0.2232 A 0.9023 | LR 0.000008
Epoch 073/100 | Train L 0.1264 A 0.9380 | Val   L 0.2239 A 0.9008 | LR 0.000003
Epoch 074/100 | Train L 0.1256 A 0.9393 | Val   L 0.2222 A 0.9033 | LR 0.000003
Epoch 075/100 | Train L 0.1272 A 0.9375 | Val   L 0.2271 A 0.9055 | LR 0.000003
Epoch 076/100 | Train L 0.1259 A 0.9389 | Val   L 0.2297 A 0.8993 | LR 0.000003
Epoch 077/100 | Train L 0.1292 A 0.9376 | Val   L 0.2232 A 0.9053 | LR 0.000003
Epoch 078/100 | Train L 0.1251 A 0.9377 | Val   L 0.2256 A 0.9028 | LR 0.000003
Epoch 079/100 | Train L 0.1249 A 0.9406 | Val   L 0.2226 A 0.9023 | LR 0.000003
Epoch 080/100 | Train L 0.1256 A 0.9390 | Val   L 0.2212 A 0.9026 | LR 0.000001
Epoch 081/100 | Train L 0.1247 A 0.9415 | Val   L 0.2266 A 0.9021 | LR 0.000001
Epoch 082/100 | Train L 0.1251 A 0.9383 | Val   L 0.2205 A 0.9028 | LR 0.000001
Epoch 083/100 | Train L 0.1246 A 0.9410 | Val   L 0.2230 A 0.9011 | LR 0.000001
Epoch 084/100 | Train L 0.1284 A 0.9389 | Val   L 0.2211 A 0.9028 | LR 0.000001
Epoch 085/100 | Train L 0.1258 A 0.9392 | Val   L 0.2197 A 0.9018 | LR 0.000001
Epoch 086/100 | Train L 0.1273 A 0.9386 | Val   L 0.2247 A 0.9008 | LR 0.000001
Epoch 087/100 | Train L 0.1248 A 0.9400 | Val   L 0.2216 A 0.9038 | LR 0.000001
Epoch 088/100 | Train L 0.1248 A 0.9398 | Val   L 0.2165 A 0.9028 | LR 0.000001
Epoch 089/100 | Train L 0.1253 A 0.9406 | Val   L 0.2235 A 0.9040 | LR 0.000001
Epoch 090/100 | Train L 0.1241 A 0.9405 | Val   L 0.2204 A 0.9048 | LR 0.000001
Epoch 091/100 | Train L 0.1256 A 0.9394 | Val   L 0.2257 A 0.9021 | LR 0.000001
Epoch 092/100 | Train L 0.1263 A 0.9394 | Val   L 0.2193 A 0.9043 | LR 0.000001
Epoch 093/100 | Train L 0.1272 A 0.9389 | Val   L 0.2266 A 0.9018 | LR 0.000001
Epoch 094/100 | Train L 0.1256 A 0.9386 | Val   L 0.2192 A 0.9011 | LR 0.000000
Epoch 095/100 | Train L 0.1270 A 0.9383 | Val   L 0.2214 A 0.9043 | LR 0.000000
Epoch 096/100 | Train L 0.1250 A 0.9397 | Val   L 0.2266 A 0.9038 | LR 0.000000
Epoch 097/100 | Train L 0.1262 A 0.9389 | Val   L 0.2209 A 0.9035 | LR 0.000000
Epoch 098/100 | Train L 0.1252 A 0.9384 | Val   L 0.2245 A 0.9033 | LR 0.000000
Epoch 099/100 | Train L 0.1270 A 0.9382 | Val   L 0.2289 A 0.9013 | LR 0.000000
Epoch 100/100 | Train L 0.1265 A 0.9392 | Val   L 0.2202 A 0.9018 | LR 0.000000
Saved LR diagram -> logs/DL\run_25-05-19_12-52-49\lr_curve.png
Saved loss and accuracy plots.

Test Metrics:
| Metric         |       Value |
|:---------------|------------:|
| accuracy       |      0.8996 |
| precision      |      0.9019 |
| recall         |      0.8996 |
| f1_score       |      0.9001 |
| time_seconds   |      0.2724 |
| overhead_bytes | 251711      |
Metrics saved to logs/DL\run_25-05-19_12-52-49\test_metrics.csv
